Oct. 19, 2022   13:05:27
Amperometric i-t Curve
File: f:\Data Source:  Experiment
Instrument Model:  CHI760E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0.5
Sample Interval (s) = 0.1
Run Time (sec) = 150
Quiet Time (sec) = 0.2
Sensitivity (A/V) = 1e-9


Time/sec, Current/A

1.00000e-1, -3.20723e-9
2.00000e-1, -3.18565e-9
3.00000e-1, -3.16786e-9
4.00000e-1, -3.15266e-9
5.00000e-1, -3.13995e-9
6.00000e-1, -3.12859e-9
7.00000e-1, -3.11936e-9
8.00000e-1, -3.11052e-9
9.00000e-1, -3.10279e-9
1.00000e+0, -3.09569e-9
1.10000e+0, -3.08962e-9
1.20000e+0, -3.08386e-9
1.30000e+0, -3.07850e-9
1.40000e+0, -3.07346e-9
1.50000e+0, -3.06921e-9
1.60000e+0, -3.06506e-9
1.70000e+0, -3.06119e-9
1.80000e+0, -3.05745e-9
1.90000e+0, -3.05388e-9
2.00000e+0, -3.05079e-9
2.10000e+0, -3.04760e-9
2.20000e+0, -3.04494e-9
2.30000e+0, -3.04240e-9
2.40000e+0, -3.03970e-9
2.50000e+0, -3.03742e-9
2.60000e+0, -3.03483e-9
2.70000e+0, -3.03265e-9
2.80000e+0, -3.03053e-9
2.90000e+0, -3.02834e-9
3.00000e+0, -3.02677e-9
3.10000e+0, -3.02484e-9
3.20000e+0, -3.02325e-9
3.30000e+0, -3.02134e-9
3.40000e+0, -3.01976e-9
3.50000e+0, -3.01841e-9
3.60000e+0, -3.01659e-9
3.70000e+0, -3.01506e-9
3.80000e+0, -3.01363e-9
3.90000e+0, -3.01257e-9
4.00000e+0, -3.01103e-9
4.10000e+0, -3.00968e-9
4.20000e+0, -3.00851e-9
4.30000e+0, -3.00720e-9
4.40000e+0, -3.00634e-9
4.50000e+0, -3.00499e-9
4.60000e+0, -3.00387e-9
4.70000e+0, -3.00300e-9
4.80000e+0, -3.00195e-9
4.90000e+0, -3.00066e-9
5.00000e+0, -2.99981e-9
5.10000e+0, -2.99893e-9
5.20000e+0, -2.99769e-9
5.30000e+0, -2.99686e-9
5.40000e+0, -2.99610e-9
5.50000e+0, -2.99524e-9
5.60000e+0, -2.99445e-9
5.70000e+0, -2.99354e-9
5.80000e+0, -2.99262e-9
5.90000e+0, -2.99197e-9
6.00000e+0, -2.99122e-9
6.10000e+0, -2.99038e-9
6.20000e+0, -2.98965e-9
